date,date_start,date_end,date_middle,sample_size,leader_party,leader_name,satisfaction_leader,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5,voting_vote,voting_prob_vote,voting_undecided,voting_not_vote,future_fianna_fail,future_fine_gael,future_labour,future_greens,future_sinn_fein,future_ind_oth,future_dont_know,past_fianna_fail,past_fine_gael,past_labour,past_greens,past_sinn_fein,past_ind_oth,past_dont_know
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Fianna Fáil,Micheál Martin,No opinion,522,257,265,216,160,146,216,277,30,197,115,103,107,361,162,NA,NA,NA,407,75,43,64,10,86,41,18,90,46,230,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Sinn Féin,Gerry Adams,Satisfied,1434,786,648,421,602,411,508,839,86,379,363,444,248,866,568,NA,NA,NA,1252,151,71,101,157,270,93,46,364,191,312,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Sinn Féin,Gerry Adams,Dissatisfied,1240,616,624,429,412,398,523,613,104,363,321,364,192,777,463,NA,NA,NA,1027,152,33,169,180,355,91,46,51,120,392,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Sinn Féin,Gerry Adams,No opinion,632,233,399,247,208,178,298,274,60,199,159,129,146,376,256,NA,NA,NA,483,98,43,91,48,110,46,11,39,72,306,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Green Party,Eamon Ryan,Satisfied,963,472,491,333,330,300,426,470,67,264,233,290,176,596,367,NA,NA,NA,824,116,54,81,168,185,66,88,108,85,263,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Green Party,Eamon Ryan,Dissatisfied,1293,663,630,461,489,343,472,731,91,358,343,367,225,778,515,NA,NA,NA,1056,146,43,177,104,344,84,14,208,188,346,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Green Party,Eamon Ryan,No opinion,1050,500,550,303,403,343,432,525,92,319,267,280,184,644,405,NA,NA,NA,882,138,49,103,113,206,79,2,139,110,401,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Fine Gael,Enda Kenny,Satisfied,1377,717,661,404,505,468,640,596,142,379,361,349,288,789,588,NA,NA,NA,1265,132,28,84,147,665,156,14,61,72,262,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Fine Gael,Enda Kenny,Dissatisfied,1707,803,904,516,701,491,597,1004,107,492,428,515,272,1047,660,NA,NA,NA,1390,175,97,199,236,98,103,19,449,233,568,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Fine Gael,Enda Kenny,No opinion,188,66,122,133,30,25,61,121,5,60,55,39,33,135,52,NA,NA,NA,123,43,6,42,19,23,2,NA,34,24,85,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Labour,Joan Burton,Satisfied,1053,541,512,344,363,347,448,498,108,293,245,285,231,602,451,NA,NA,NA,928,103,23,83,106,461,134,8,70,48,226,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Labour,Joan Burton,Dissatisfied,1921,918,1002,527,792,601,732,1049,140,530,510,550,330,1154,767,NA,NA,NA,1638,174,91,182,249,285,99,23,411,269,584,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Labour,Joan Burton,No opinion,298,126,172,183,80,35,118,173,7,109,90,67,32,215,83,NA,NA,NA,214,73,18,61,46,41,28,2,64,12,105,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Fianna Fáil,Micheál Martin,Satisfied,1334,650,684,448,439,447,526,701,107,377,344,366,247,788,546,NA,NA,NA,1209,171,30,87,318,409,112,9,140,81,265,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Fianna Fáil,Micheál Martin,Dissatisfied,1526,743,782,441,656,429,580,809,136,398,390,450,289,887,638,NA,NA,NA,1257,108,78,170,64,285,121,22,348,220,467,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Fianna Fáil,Micheál Martin,No opinion,412,193,220,165,140,107,191,210,12,157,110,87,58,296,116,NA,NA,NA,313,71,24,68,20,93,28,2,56,28,184,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Sinn Féin,Gerry Adams,Satisfied,1358,808,551,447,569,342,483,777,99,388,378,338,255,816,542,NA,NA,NA,1130,141,48,165,129,242,109,11,435,138,294,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Sinn Féin,Gerry Adams,Dissatisfied,1382,602,780,388,503,491,581,684,117,364,340,406,273,796,586,NA,NA,NA,1213,119,61,95,171,427,113,22,64,148,439,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Sinn Féin,Gerry Adams,No opinion,532,176,356,218,163,150,234,259,39,180,127,158,66,359,172,NA,NA,NA,435,89,23,65,102,118,40,NA,45,44,183,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Green Party,Eamon Ryan,Satisfied,953,511,442,390,322,240,382,491,80,310,248,210,184,565,387,NA,NA,NA,795,108,43,92,96,264,108,26,134,74,250,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Green Party,Eamon Ryan,Dissatisfied,1341,672,669,393,568,380,501,743,97,330,356,428,227,837,503,NA,NA,NA,1140,99,62,134,187,282,84,4,269,188,326,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Green Party,Eamon Ryan,No opinion,979,403,576,270,346,363,414,487,77,291,241,264,183,568,410,NA,NA,NA,843,144,26,99,118,241,69,3,141,67,339,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Fine Gael,Enda Kenny,Satisfied,967,551,416,271,411,286,419,410,138,228,248,291,198,496,471,293,348,327,892,167,25,50,125,416,49,20,71,162,125,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Fine Gael,Enda Kenny,Dissatisfied,2138,1000,1138,707,770,661,801,1249,88,636,535,580,383,1375,764,668,778,692,1783,284,135,211,296,141,76,45,483,530,567,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Fine Gael,Enda Kenny,No opinion,189,62,126,91,51,47,83,92,14,61,60,45,22,135,54,58,62,69,120,25,18,52,43,18,NA,5,11,6,107,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Labour,Joan Burton,Satisfied,1352,677,675,330,499,523,594,581,178,287,358,415,290,684,668,453,429,470,1240,187,47,65,253,453,96,23,109,193,224,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Labour,Joan Burton,Dissatisfied,1599,732,868,591,615,393,526,1017,56,525,395,429,251,1079,521,465,630,505,1303,234,101,186,184,73,26,45,416,427,429,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Labour,Joan Burton,No opinion,343,205,138,148,117,78,184,153,6,114,90,72,62,243,100,102,129,112,251,54,30,62,26,48,3,2,40,77,146,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Fianna Fáil,Micheál Martin,Satisfied,1205,608,597,361,480,364,498,602,105,259,377,332,237,674,531,421,325,459,1076,157,35,84,327,236,32,35,184,196,195,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Fianna Fáil,Micheál Martin,Dissatisfied,1647,803,844,530,638,479,629,904,114,534,363,470,278,1069,578,456,699,491,1381,251,118,148,84,280,78,28,317,439,421,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Fianna Fáil,Micheál Martin,No opinion,442,203,240,179,113,151,176,246,21,133,103,113,88,263,179,142,163,137,337,67,24,81,52,59,15,7,64,63,183,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Sinn Féin,Gerry Adams,Satisfied,1330,756,574,454,524,352,441,794,95,392,317,338,283,795,535,450,450,430,1181,194,56,83,166,188,36,36,501,198,204,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Sinn Féin,Gerry Adams,Dissatisfied,1551,722,829,474,579,498,712,704,136,383,414,495,257,873,678,478,555,518,1318,187,71,162,251,343,81,35,40,457,344,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Sinn Féin,Gerry Adams,No opinion,413,136,277,141,128,144,150,254,9,150,113,83,63,337,76,90,183,139,295,95,50,67,45,44,8,NA,23,42,251,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Green Party,Eamon Ryan,Satisfied,1072,565,507,336,401,334,483,489,99,325,270,287,189,656,416,309,378,385,982,151,29,60,175,188,77,56,217,209,150,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Green Party,Eamon Ryan,Dissatisfied,1231,588,643,436,491,304,485,666,80,373,299,370,187,763,468,397,501,333,1008,197,69,144,148,185,36,7,223,310,323,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Green Party,Eamon Ryan,No opinion,991,461,531,297,338,356,335,596,60,227,273,258,227,586,405,313,309,369,804,127,79,108,141,201,12,7,125,180,326,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Fine Gael,Enda Kenny,Satisfied,932,490,442,268,332,332,389,478,64,239,216,307,170,526,406,280,389,263,806,89,77,49,94,434,41,11,100,107,143,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Fine Gael,Enda Kenny,Dissatisfied,2256,1079,1177,747,858,650,843,1228,184,656,609,563,428,1371,885,711,761,783,1942,224,102,211,339,114,100,23,547,658,475,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Fine Gael,Enda Kenny,No opinion,131,60,71,95,23,13,59,68,5,40,35,46,10,96,35,40,49,43,66,12,17,49,18,5,2,NA,7,11,88,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Labour,Joan Burton,Satisfied,1125,573,552,266,365,494,499,526,100,233,307,361,224,622,503,344,423,358,1007,103,57,61,177,411,65,9,97,203,162,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Labour,Joan Burton,Dissatisfied,1925,931,993,696,767,463,692,1083,150,597,486,495,347,1183,742,610,669,646,1657,196,84,184,242,114,71,20,525,534,420,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Labour,Joan Burton,No opinion,269,123,145,148,82,38,100,166,3,105,66,61,37,188,81,76,107,86,150,27,54,65,32,29,7,5,32,41,123,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Fianna Fáil,Micheál Martin,Satisfied,1279,651,628,402,402,475,448,705,126,271,345,438,225,680,599,387,517,375,1134,136,62,84,339,257,58,15,207,242,161,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Fianna Fáil,Micheál Martin,Dissatisfied,1675,796,880,534,701,441,699,864,113,518,423,400,334,1072,603,528,551,596,1436,158,69,170,80,253,69,15,402,479,378,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Fianna Fáil,Micheál Martin,No opinion,364,182,183,174,110,80,144,206,15,146,91,78,49,241,124,116,131,118,244,32,65,56,32,44,16,5,45,56,167,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Sinn Féin,Gerry Adams,Satisfied,1128,549,578,477,441,210,344,734,49,311,308,349,160,685,443,382,365,381,992,107,81,55,135,78,51,10,583,143,127,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Sinn Féin,Gerry Adams,Dissatisfied,1863,921,943,467,686,710,827,852,184,525,482,464,392,1101,763,570,683,611,1612,190,69,182,288,444,86,24,64,563,394,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Sinn Féin,Gerry Adams,No opinion,328,158,169,166,86,75,120,188,20,99,69,103,56,208,120,80,150,97,210,30,44,73,28,31,6,NA,7,71,185,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Green Party,Eamon Ryan,Satisfied,1112,530,582,341,415,355,409,617,86,271,288,318,235,595,517,339,380,393,1007,111,51,54,177,258,85,26,241,166,158,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Green Party,Eamon Ryan,Dissatisfied,1404,710,695,439,516,449,532,744,128,435,335,401,234,850,554,438,517,450,1199,163,66,139,178,177,43,8,288,444,266,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Green Party,Eamon Ryan,No opinion,803,388,414,330,282,191,350,414,39,229,236,197,139,547,255,254,301,247,607,52,78,117,96,118,15,NA,126,167,281,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Fine Gael,Enda Kenny,Satisfied,905,494,410,309,307,288,438,389,78,311,175,219,199,562,343,236,342,327,853,143,43,9,87,387,55,18,61,110,187,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Fine Gael,Enda Kenny,Dissatisfied,1995,967,1028,544,792,659,736,1140,119,507,581,551,356,1191,804,560,725,711,1711,347,121,133,433,80,65,19,440,439,520,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Fine Gael,Enda Kenny,No opinion,354,175,179,207,106,41,144,202,8,102,87,122,43,211,143,135,76,142,210,40,46,83,37,32,17,NA,14,49,203,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Labour,Joan Burton,Satisfied,1171,573,598,433,382,356,548,547,77,368,235,347,220,735,437,353,381,437,1096,165,52,23,174,350,97,24,105,177,243,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Labour,Joan Burton,Dissatisfied,1855,950,905,501,762,591,677,1064,114,492,546,487,329,1110,745,497,713,645,1510,303,136,171,364,125,22,11,392,387,554,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Labour,Joan Burton,No opinion,228,114,114,125,60,42,93,121,13,60,61,58,48,119,109,81,48,99,169,62,22,31,19,24,18,1,18,34,114,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Fianna Fáil,Micheál Martin,Satisfied,1314,618,696,450,441,423,499,734,82,353,296,417,248,807,508,360,493,462,1164,222,82,60,420,219,60,12,136,114,354,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Fianna Fáil,Micheál Martin,Dissatisfied,1529,819,710,418,630,481,622,795,112,420,436,362,311,908,621,439,509,581,1304,257,92,114,107,208,61,22,348,377,407,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Fianna Fáil,Micheál Martin,No opinion,410,199,211,192,134,84,197,202,11,148,111,113,39,249,161,132,140,138,307,52,36,51,30,72,17,2,31,107,150,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Sinn Féin,Gerry Adams,Satisfied,1038,573,465,357,409,272,386,627,25,317,280,226,215,665,373,230,397,411,922,181,56,60,172,135,28,5,408,126,163,NA,NA,NA,NA,NA,NA,NA
